owner,section,slot,label,player_id,player_name,2B,3B,AB,AVG,BB,CS,ER,ERA,G,GS,H,HB,HR,IP,K,L,OUTS,R,RBI,SB,SO,SV,W,WHIP
Baker,hitting,2B,Stott,681082,Bryson Stott,0,0,13,0.15384615384615385,0,0,,,4,,2,,0,,,,,0,0,1,4,,,
Baker,hitting,3B,Suarez,553993,Eugenio Suárez,1,0,47,0.2127659574468085,4,0,,,12,,10,,3,,,,,4,8,0,18,,,
Baker,hitting,SS,Turner,607208,Trea Turner,0,0,17,0.23529411764705882,2,0,,,4,,4,,0,,,,,1,3,2,5,,,
Baker,hitting,OF,Rodriguez,677594,Julio Rodríguez,2,0,48,0.20833333333333334,7,0,,,12,,10,,4,,,,,6,9,0,19,,,
Baker,hitting,OF,Arozarena,668227,Randy Arozarena,1,0,48,0.1875,4,0,,,12,,9,,1,,,,,10,2,5,19,,,
Baker,hitting,OF,Suzuki,673548,Seiya Suzuki,3,0,31,0.22580645161290322,1,0,,,8,,7,,3,,,,,4,5,0,10,,,
Baker,hitting,Util,Castellanos,592206,Nick Castellanos,2,0,15,0.13333333333333333,0,0,,,4,,2,,0,,,,,1,3,0,3,,,
Baker,hitting,Util,Bader,664056,Harrison Bader,0,0,2,0.5,0,0,,,3,,1,,0,,,,,0,1,0,1,,,
Baker,hitting,W,Robles,645302,Victor Robles,2,0,27,0.1111111111111111,7,2,,,10,,3,,0,,,,,1,0,0,7,,,
Baker,pitching,SP,Kirby,669923,George Kirby,,,,,4,,12,6.0,4,4,21,1,4,18.0,21,1,54,12,,,,0,0,1.3888888888888888
Baker,pitching,SP,Castillo,622491,Luis Castillo,,,,,5,,3,3.2399999999999998,3,2,6,0,1,8.1,5,1,25,3,,,,0,1,1.3199999999999998
Baker,pitching,RP,Duran,661395,Jhoan Duran,,,,,4,,0,0.0,3,0,1,0,0,3.2,7,0,11,0,,,,0,0,1.3636363636363638
Baker,pitching,RP,Munoz,662253,Andrés Muñoz,,,,,2,,0,0.0,7,0,2,0,0,8.1,5,0,25,0,,,,2,0,0.48
Baker,pitching,P,Smith,671922,Cade Smith,,,,,2,,0,0.0,3,0,0,2,0,3.1,4,0,10,0,,,,0,1,0.6
Baker,pitching,P,Buehler,621111,Walker Buehler,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,,,,0,0,0
Brian,hitting,C,Contreras,661388,William Contreras,1,0,34,0.23529411764705882,3,0,,,9,,8,,2,,,,,5,3,0,7,,,
Brian,hitting,1B,Guerrero,665489,Vladimir Guerrero Jr.,5,0,73,0.3972602739726027,14,0,,,18,,29,,8,,,,,18,15,0,7,,,
Brian,hitting,2B,Polanco,593871,Jorge Polanco,1,0,48,0.20833333333333334,4,0,,,12,,10,,3,,,,,7,8,0,12,,,
Brian,hitting,3B,Muncy,571970,Max Muncy,2,0,56,0.21428571428571427,11,0,,,17,,12,,3,,,,,8,3,0,17,,,
Brian,hitting,SS,Swanson,621020,Dansby Swanson,1,0,26,0.15384615384615385,3,0,,,8,,4,,0,,,,,1,1,0,15,,,
Brian,hitting,OF,Chourio,694192,Jackson Chourio,3,0,33,0.30303030303030304,1,0,,,9,,10,,2,,,,,3,8,0,9,,,
Brian,hitting,OF,Yelich,592885,Christian Yelich,1,0,33,0.18181818181818182,5,0,,,9,,6,,0,,,,,3,0,1,9,,,
Brian,hitting,OF,T Hernandez,606192,Teoscar Hernández,1,0,70,0.2571428571428571,5,0,,,17,,18,,5,,,,,8,13,0,21,,,
Brian,hitting,Util,Bogaerts,593428,Xander Bogaerts,1,0,12,0.3333333333333333,0,0,,,3,,4,,0,,,,,0,1,1,3,,,
Brian,hitting,Util,De La Cruz,682829,Elly De La Cruz,0,0,6,0.0,2,0,,,2,,0,,0,,,,,1,2,0,4,,,
Brian,hitting,W,Green,682985,Riley Greene,2,0,33,0.21212121212121213,2,0,,,8,,7,,1,,,,,4,2,0,9,,,
Brian,pitching,SP,Gilbert,669302,Logan Gilbert,,,,,3,,7,4.2,4,3,19,1,2,15.0,14,1,45,9,,,,0,1,1.4666666666666666
Brian,pitching,SP,Gausman,592332,Kevin Gausman,,,,,11,,10,2.934782608695652,6,5,17,0,4,30.2,26,3,92,10,,,,0,2,0.9130434782608695
Brian,pitching,RP,Uribe,682842,Abner Uribe,,,,,4,,2,3.0,5,0,3,0,0,6.0,6,0,18,2,,,,1,0,1.1666666666666667
Brian,pitching,RP,Hoffman,656546,Jeff Hoffman,,,,,4,,2,1.4594594594594594,10,0,6,2,1,12.1,18,0,37,2,,,,2,0,0.8108108108108107
Brian,pitching,P,Bieber,669456,Shane Bieber,,,,,6,,8,3.8571428571428568,5,4,21,0,3,18.2,18,1,56,9,,,,0,2,1.4464285714285714
Brian,pitching,P,Abbott,671096,Andrew Abbott,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,,,,0,0,0
Mitch,hitting,C,Raleigh,663728,Cal Raleigh,2,0,46,0.30434782608695654,8,0,,,12,,14,,5,,,,,8,8,0,17,,,
Mitch,hitting,1B,Arraez,650333,Luis Arraez,0,0,11,0.18181818181818182,0,0,,,3,,2,,0,,,,,0,0,1,1,,,
Mitch,hitting,2B,Betts,605141,Mookie Betts,4,1,70,0.22857142857142856,10,0,,,17,,16,,0,,,,,4,8,0,9,,,
Mitch,hitting,3B,Edman,669242,Tommy Edman,3,0,63,0.2222222222222222,3,0,,,16,,14,,2,,,,,5,8,0,18,,,
Mitch,hitting,SS,Story,596115,Trevor Story,0,0,13,0.38461538461538464,0,0,,,3,,5,,1,,,,,2,3,1,4,,,
Mitch,hitting,OF,O'Hearn,656811,Ryan O'Hearn,0,0,9,0.2222222222222222,1,0,,,3,,2,,0,,,,,0,0,0,1,,,
Mitch,hitting,OF,Tatis,665487,Fernando Tatis Jr.,0,0,12,0.08333333333333333,1,0,,,3,,1,,0,,,,,2,0,1,4,,,
Mitch,hitting,OF,Bellinger,641355,Cody Bellinger,2,0,28,0.21428571428571427,2,0,,,7,,6,,1,,,,,4,4,0,5,,,
Mitch,hitting,Util,Gimenez,665926,Andrés Giménez,2,0,65,0.2153846153846154,4,0,,,18,,14,,2,,,,,10,12,1,16,,,
Mitch,hitting,Util,Varsho,662139,Daulton Varsho,4,1,75,0.22666666666666666,4,1,,,18,,17,,3,,,,,12,10,0,19,,,
Mitch,hitting,W,Caballero,676609,José Caballero,0,0,4,0.25,0,0,,,3,,1,,0,,,,,0,0,0,1,,,
Mitch,pitching,SP,Yamamoto,808967,Yoshinobu Yamamoto,,,,,6,,6,1.4464285714285714,6,5,23,3,2,37.1,33,1,112,8,,,,0,5,0.7767857142857142
Mitch,pitching,SP,Fried,608331,Max Fried,,,,,5,,7,6.75,2,2,12,0,1,9.1,7,1,28,7,,,,0,0,1.8214285714285714
Mitch,pitching,RP,Suarez,663158,Robert Suarez,,,,,0,,1,3.8571428571428568,2,0,5,0,1,2.1,2,0,7,1,,,,1,0,2.142857142857143
Mitch,pitching,RP,Williams,642207,Devin Williams,,,,,2,,0,0.0,4,0,3,0,0,4.0,4,0,12,0,,,,0,1,1.25
Mitch,pitching,P,Glasnow,607192,Tyler Glasnow,,,,,11,,4,1.6875,6,3,15,0,1,21.1,25,0,64,6,,,,1,0,1.21875
Mitch,pitching,P,Sheehan,686218,Emmet Sheehan,,,,,5,,7,8.590909090909092,6,0,13,0,0,7.1,6,0,22,7,,,,0,0,2.4545454545454546
Reed,hitting,C,Wells,669224,Austin Wells,0,0,22,0.22727272727272727,1,0,,,7,,5,,0,,,,,1,3,0,6,,,
Reed,hitting,1B,Busch,683737,Michael Busch,0,0,27,0.2962962962962963,3,0,,,8,,8,,4,,,,,4,4,0,4,,,
Reed,hitting,2B,Hoerner,663538,Nico Hoerner,1,0,31,0.41935483870967744,0,1,,,8,,13,,1,,,,,4,2,1,2,,,
Reed,hitting,3B,Ramirez,608070,José Ramírez,0,0,8,0.25,4,1,,,3,,2,,0,,,,,1,1,0,2,,,
Reed,hitting,SS,Clement,676391,Ernie Clement,6,1,73,0.410958904109589,1,0,,,18,,30,,1,,,,,13,9,1,5,,,
Reed,hitting,OF,Crow-Armstrong,691718,Pete Crow-Armstrong,0,0,27,0.18518518518518517,1,1,,,8,,5,,0,,,,,0,3,1,12,,,
Reed,hitting,OF,Kwan,680757,Steven Kwan,2,0,12,0.16666666666666666,0,0,,,3,,2,,0,,,,,2,0,0,0,,,
Reed,hitting,OF,Happ,664023,Ian Happ,1,0,30,0.1,2,0,,,8,,3,,2,,,,,3,4,0,13,,,
Reed,hitting,Util,Manzardo,700932,Kyle Manzardo,0,0,11,0.09090909090909091,1,0,,,3,,1,,0,,,,,0,0,0,3,,,
Reed,hitting,Util,Shaw,807713,Matt Shaw,0,0,17,0.11764705882352941,5,0,,,8,,2,,0,,,,,0,1,1,7,,,
Reed,pitching,SP,Sanchez,650911,Cristopher Sánchez,,,,,3,,3,2.25,2,2,9,2,0,12.0,13,0,36,3,,,,0,0,1.0
Reed,pitching,SP,Williams,668909,Gavin Williams,,,,,1,,0,0.0,1,1,5,0,0,6.0,8,1,18,2,,,,0,0,1.0
Reed,pitching,RP,Palencia,694037,Daniel Palencia,,,,,2,,3,3.5217391304347823,6,0,5,1,1,7.2,3,0,23,3,,,,0,3,0.9130434782608695
Reed,pitching,RP,Kittridge,552640,Andrew Kittredge,,,,,1,,3,5.4,5,1,5,0,2,5.0,3,1,15,3,,,,1,0,1.2
Reed,pitching,P,Boyd,571510,Matthew Boyd,,,,,5,,3,2.793103448275862,3,3,10,0,0,9.2,9,1,29,7,,,,0,0,1.5517241379310345
Reed,pitching,P,Keller,641745,Brad Keller,,,,,2,,1,1.588235294117647,5,0,2,2,1,5.2,5,0,17,1,,,,2,0,0.7058823529411764
Reed,pitching,W,Green,668881,Hunter Greene,,,,,2,,5,15.0,1,1,6,0,3,3.0,4,1,9,5,,,,0,0,2.6666666666666665
Russ,hitting,C,Realmuto,592663,J.T. Realmuto,2,1,17,0.35294117647058826,0,0,,,4,,6,,1,,,,,3,3,0,3,,,
Russ,hitting,1B,Vaughn,683734,Andrew Vaughn,0,0,26,0.15384615384615385,4,0,,,9,,4,,2,,,,,4,4,0,2,,,
Russ,hitting,2B,Turang,668930,Brice Turang,1,0,35,0.11428571428571428,2,0,,,9,,4,,1,,,,,2,3,0,14,,,
Russ,hitting,3B,Bregman,608324,Alex Bregman,1,0,10,0.3,3,0,,,3,,3,,0,,,,,0,1,0,2,,,
Russ,hitting,SS,Bichette,666182,Bo Bichette,0,0,23,0.34782608695652173,4,0,,,7,,8,,1,,,,,2,6,0,4,,,
Russ,hitting,OF,Schwarber,656941,Kyle Schwarber,1,0,16,0.1875,2,0,,,4,,3,,2,,,,,2,3,0,8,,,
Russ,hitting,OF,Springer,543807,George Springer,6,0,67,0.2835820895522388,5,1,,,16,,19,,4,,,,,14,10,0,17,,,
Russ,hitting,OF,Pages,681624,Andy Pages,1,0,51,0.0784313725490196,0,0,,,16,,4,,0,,,,,2,1,0,11,,,
Russ,hitting,Util,Kirk,672386,Alejandro Kirk,2,0,71,0.2535211267605634,9,0,,,18,,18,,5,,,,,11,13,0,13,,,
Russ,hitting,Util,Rojas,500743,Miguel Rojas,0,0,18,0.2777777777777778,0,0,,,8,,5,,1,,,,,3,2,0,2,,,
Russ,pitching,SP,Peralta,642547,Freddy Peralta,,,,,6,,8,4.695652173913043,3,3,12,1,5,15.1,19,2,46,8,,,,0,1,1.1739130434782608
Russ,pitching,SP,Woo,693433,Bryan Woo,,,,,3,,3,6.230769230769231,2,0,4,1,0,4.1,2,0,13,3,,,,0,0,1.6153846153846154
Russ,pitching,RP,Scott,656945,Tanner Scott,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,,,,0,0,0
Russ,pitching,RP,Priester,682990,Quinn Priester,,,,,5,,4,7.7142857142857135,2,1,6,0,1,4.2,2,1,14,4,,,,0,0,2.357142857142857
Russ,pitching,P,Luzardo,666200,Jesús Luzardo,,,,,1,,2,2.3478260869565215,2,1,5,0,0,7.2,8,2,23,3,,,,0,0,0.7826086956521738
Russ,pitching,P,Kershaw,477132,Clayton Kershaw,,,,,3,,4,15.428571428571427,2,0,6,0,2,2.1,0,0,7,5,,,,0,0,3.8571428571428568
Russ,pitching,W,Vesia,681911,Alex Vesia,,,,,3,,2,3.8571428571428568,7,0,3,0,0,4.2,4,0,14,2,,,,0,2,1.2857142857142856
Tim,hitting,C,Rice,700250,Ben Rice,1,0,18,0.2222222222222222,2,0,,,6,,4,,1,,,,,2,4,0,8,,,
Tim,hitting,1B,Naylor,647304,Josh Naylor,2,0,47,0.3404255319148936,4,0,,,12,,16,,3,,,,,7,5,2,6,,,
Tim,hitting,2B,K Hernandez,571771,Enrique Hernández,4,0,64,0.25,4,0,,,17,,16,,1,,,,,9,7,0,24,,,
Tim,hitting,3B,Machado,592518,Manny Machado,0,0,10,0.1,2,0,,,3,,1,,1,,,,,1,2,0,3,,,
Tim,hitting,SS,Rafaela,678882,Ceddanne Rafaela,0,0,10,0.0,2,0,,,3,,0,,0,,,,,2,0,0,4,,,
Tim,hitting,OF,Merrill,701538,Jackson Merrill,2,0,9,0.3333333333333333,1,0,,,3,,3,,1,,,,,2,2,0,2,,,
Tim,hitting,OF,Judge,592450,Aaron Judge,2,0,26,0.5,4,0,,,7,,13,,1,,,,,5,7,0,5,,,
Tim,hitting,OF,Stanton,519317,Giancarlo Stanton,2,0,26,0.19230769230769232,3,0,,,7,,5,,0,,,,,1,4,0,6,,,
Tim,hitting,Util,Frelick,686217,Sal Frelick,1,0,31,0.16129032258064516,2,0,,,9,,5,,0,,,,,2,1,1,5,,,
Tim,hitting,Util,Lowe,663993,Nathaniel Lowe,0,0,7,0.14285714285714285,0,0,,,3,,1,,0,,,,,0,0,0,1,,,
Tim,pitching,SP,Snell,605483,Blake Snell,,,,,13,,12,3.176470588235294,6,5,21,1,3,34.0,41,2,102,12,,,,0,3,1.0
Tim,pitching,SP,Ohtani,660271,Shohei Ohtani,,,,,7,,10,4.426229508196721,4,4,16,1,2,20.1,28,1,61,10,,,,0,2,1.1311475409836067
Tim,pitching,RP,Chapman,547973,Aroldis Chapman,,,,,0,,0,0.0,2,0,4,0,0,2.1,5,0,7,0,,,,1,0,1.7142857142857142
Tim,pitching,RP,Miller,695243,Mason Miller,,,,,0,,0,0.0,2,0,0,1,0,2.2,8,0,8,0,,,,0,0,0.0
Tim,pitching,P,Pivetta,601713,Nick Pivetta,,,,,0,,2,3.6,1,1,3,0,2,5.0,9,1,15,2,,,,0,0,0.6
Tim,pitching,P,Crochet,676979,Garrett Crochet,,,,,0,,1,1.1739130434782608,1,1,4,0,1,7.2,11,0,23,1,,,,0,1,0.5217391304347826
Tim,pitching,W,Schlittler,693645,Cam Schlittler,,,,,0,,2,1.255813953488372,2,2,13,0,0,14.1,14,1,43,4,,,,0,1,0.9069767441860465
