"owner","section","slot","player_id","player_name"
"Tim","hitting","1B","647304","Josh Naylor"
"Tim","hitting","2B","571771","Enrique Hernández"
"Tim","hitting","3B","592518","Manny Machado"
"Tim","hitting","SS","678882","Ceddanne Rafaela"
"Tim","hitting","OF","701538","Jackson Merrill"
"Tim","hitting","OF","592450","Aaron Judge"
"Tim","hitting","OF","519317","Giancarlo Stanton"
"Tim","hitting","Util","686217","Sal Frelick"
"Tim","hitting","Util","663993","Nathaniel Lowe"
"Tim","pitching","SP","605483","Blake Snell"
"Tim","pitching","SP","660271","Shohei Ohtani"
"Tim","pitching","RP","547973","Aroldis Chapman"
"Tim","pitching","RP","695243","Mason Miller"
"Tim","pitching","P","601713","Nick Pivetta"
"Tim","pitching","P","676979","Garrett Crochet"
"Tim","pitching","W","693645","Cam Schlittler"
